GRNNo,LPONo,TDate,DNote,Item,Quantity,Price,VATAmount,NetAmount,Amount,Posted,Balance,SortOrder,Pick,VAT,Credit,Supplier,CurrMonth,Days,RefNo,Cash,BatchNo,Expiry,Blank,Quantity2,Price2,Return,UserName,Official,Remarks,Cancelled,B4,Curr,AVGPrice,AVGPrice2,StCn,Company,GoodsRet,Transfer,VATIncl,Discount,CostPrice,CostPrice2,Ref,BBF,BinLoc,InvNo,NetPrice
"31326",,"07/29/26 00:00:00",,"875",2,1000,0,2000,2000,0,2000,2213,0,0,0,10021,"7. JULY",23,"31326",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,1000,1,,0,"Z001",,1000
"31426",,"07/30/26 00:00:00",,"262290",4,10312.5,0,41250,41250,0,41250,2214,0,0,0,345,"7. JULY",22,"31426",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,10312.5,0,,0,"Z001",,10312.5
"31526",,"07/31/26 00:00:00",,"262291",3,5560,0,16680,16680,0,16680,2215,0,0,0,350,"7. JULY",21,"31526",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,5560,0,,0,"Z001",,5560
"31626",,"07/31/26 00:00:00",,"1588",1,12500,0,12500,12500,0,12500,2216,0,0,0,364,"7. JULY",21,"31626",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,12500,1,,0,"Z001",,12500
"31626",,"07/31/26 00:00:00",,"262293",1,3200,0,3200,3200,0,3200,2217,0,0,0,364,"7. JULY",21,"31626",1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,3200,0,,0,"Z001",,3200
"31626",,"07/31/26 00:00:00",,"262295",1,3500,0,3500,3500,0,3500,2218,0,0,0,364,"7. JULY",21,"31626",1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,3500,0,,0,"Z001",,3500
"31626",,"07/31/26 00:00:00",,"241910",4,6000,0,24000,24000,0,24000,2219,0,0,0,364,"7. JULY",21,"31626",1,,,1,0,102.2,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,6000,102.2,,0,"Z001",,6000
"31626",,"07/31/26 00:00:00",,"262296",6,2500,0,15000,15000,0,15000,2220,0,0,0,364,"7. JULY",21,"31626",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,2500,1,,0,"Z001",,2500
"31626",,"07/31/26 00:00:00",,"262297",3,450,0,1350,1350,0,1350,2221,0,0,0,364,"7. JULY",21,"31626",1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,450,0,,0,"Z001",,450
"31726",,"08/03/26 00:00:00",,"875",6,850,0,5100,5100,0,5100,2222,0,0,0,346,"8. AUGUST",18,,1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,850,1,,0,"Z001",,850
"31726",,"08/03/26 00:00:00",,"836",108,250,0,27000,27000,0,27000,2223,0,0,0,346,"8. AUGUST",18,,1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,250,1,,0,"Z001",,250
"31726",,"08/03/26 00:00:00",,"6587",200,135,0,27000,27000,0,27000,2224,0,0,0,346,"8. AUGUST",18,,1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,135,1,,0,"Z001",,135
"31826",,"07/20/26 00:00:00",,"262298",40,1000,0,40000,40000,0,40000,2225,0,0,0,353,"7. JULY",32,"31826",1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,1000,0,,0,"Z001",,1000
