MINNo,OrderNo,TDate,Item,Qnty,Price,Qnty2,Price2,VAT,GRN,LPO,Posted,Pick,Credit,UnPaid,Discount,SortOrder,Customer,RetQnty,Cash,RefNo,NetInWords,Days,Pos,ClientName,Entry,UserName,Official,JobNo,JobCard,Cancelled,B4,Curr,Company,GoodsRet,Comm,Asst,Perc,AmtRecvd,VATIncl,InvNo,InvDt,IntRef,Profit,Profit2,Other,BinLoc,IDNo,LNo,RegNo,Driver,LDate,Approved,ClientAddress,NetPrice
"3925",,"11/22/25 00:00:00","6511",2,3500,0,0,0,,,0,0,0,0,0,303,341,0,1,,,-1,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",300,0,,"Z001",,,,,,0,,3500
"4025",,"11/22/25 00:00:00","898",2,25000,0,0,0,,,0,0,0,0,0,306,365,0,1,,,-1,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4025",,,0,0,,"Z001",,,,,,0,,25000
"4025",,"11/22/25 00:00:00","771",3,37000,0,0,0,,,0,0,0,0,0,307,365,0,1,,,-1,,,2,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4025",,,857.14,0,,"Z001",,,,,,0,,37000
"4025",,"11/22/25 00:00:00","251947",1,299620.41,0,0,0,,,0,0,0,0,0,309,365,0,1,,,-1,,,3,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4025",,,61757.8,0,,"Z001",,,,,,0,,299620.41
"3825",,"11/21/25 00:00:00","5817",6,9200,0,0,0,,,0,0,0,0,0,311,341,0,1,,,-1,,,23,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",1906.1,0,,"Z001",,,,,,0,,9200
"3825",,"11/21/25 00:00:00","252030",0.5,160,0,0,0,,,0,0,0,0,0,312,341,0,1,,,-1,,,24,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",70,0,,"Z001",,,,,,0,,160
"3925",,"11/22/25 00:00:00","252011",1,600,0,0,0,,,0,0,0,0,0,331,341,0,1,,,-1,,,19,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",235,0,,"Z001",,,,,,0,,600
"3925",,"11/22/25 00:00:00","6608",1,1200,0,0,0,,,0,0,0,0,0,332,341,0,1,,,-1,,,20,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",462.81,0,,"Z001",,,,,,0,,1200
"3925",,"11/22/25 00:00:00","1716",1,2500,0,0,0,,,0,0,0,0,0,333,341,0,1,,,-1,,,21,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",636,0,,"Z001",,,,,,0,,2500
"3825",,"11/21/25 00:00:00","6334",1,350,0,0,0,,,0,0,0,0,0,281,341,0,1,,,-1,,,4,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",95,0,,"Z001",,,,,,0,,350
"3925",,"11/22/25 00:00:00","241923",8,368.75,0,0,0,,,0,0,0,0,0,340,341,0,1,,,-1,,,22,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",88.75,0,,"Z001",,,,,,0,,368.75
"3925",,"11/22/25 00:00:00","836",3,350,0,0,0,,,0,0,0,0,0,343,341,0,1,,,-1,,,24,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",120,0,,"Z001",,,,,,0,,350
"3925",,"11/22/25 00:00:00","1549",2,300,0,0,0,,,0,0,0,0,0,344,341,0,1,,,-1,,,25,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",167,0,,"Z001",,,,,,0,,300
"3925",,"11/22/25 00:00:00","6466",1,400,0,0,0,,,0,0,0,0,0,345,341,0,1,,,-1,,,26,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",150,0,,"Z001",,,,,,0,,400
"3925",,"11/22/25 00:00:00","6098",1,50,0,0,0,,,0,0,0,0,0,346,341,0,1,,,-1,,,27,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",22.45,0,,"Z001",,,,,,0,,50
"3925",,"11/22/25 00:00:00","252027",1,350,0,0,0,,,0,0,0,0,0,347,341,0,1,,,-1,,,28,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",50,0,,"Z001",,,,,,0,,350
"3925",,"11/22/25 00:00:00","6481",0,15500,2,200,0,,,0,0,0,0,0,349,341,0,1,,,-1,,,30,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",0,52.04,,"Z001",,,,,,0,,15500
"3925",,"11/22/25 00:00:00","231903",2,350,0,0,0,,,0,0,0,0,0,350,341,0,1,,,-1,,,31,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",348.91,0,,"Z001",,,,,,0,,350
